stations	X	Y	x	y	01.04.2015	02.04.2015	03.04.2015	01.05.2015	02.05.2015	03.05.2015	01.06.2015	02.06.2015	03.06.2015	01.07.2015	02.07.2015	03.07.2015	01.08.2015	02.08.2015	03.08.2015	01.09.2015	02.09.2015	03.09.2015	01.10.2015
2450011	538551.199449464	7309184.41082605	538.551199449464	7309.18441082605	3.9	1.4	46.3	68.7	36.1	73.6	1.1	55.5	1	142.7	196	22.3	0	9.3	31.5	105.1	34.2	73.9	72.7
2450021	573677.299871252	7237068.60328056	573.677299871252	7237.06860328056	0	5.3	74.3	71.1	0	143.2	0	75	7.8	80.3	212.8	57.1	0	8.7	38.9	106.9	0	58.7	43.7
2450024	600953.833711445	7240217.01266004	600.953833711445	7240.21701266004	0	0	74.6	68.4	0	50.3	0	57.4	2.4	58.5	163.3	55.6	0	3.7	29.5	83.6	3	43.2	34.7
2450025	570819.802667021	7270303.99372188	570.819802667021	7270.30399372188	0	3	82.9	90.2	0	61	0	83.3	0	140.8	173.4	52.8	0	9.5	9.4	118.2	7.8	45	52.2
2450026	588054.75255878	7275742.18306822	588.05475255878	7275.74218306822	0	0	61.4	107.2	0	43.4	0	55.1	15.3	61.1	193.2	45.1	0	0	38.2	129.7	10.9	54	68.3
2450031	591278.836945034	7304512.49073736	591.278836945034	7304.51249073736	0	0	51.3	88.1	9.8	50.7	0	49.8	0	102.8	148.9	8.7	0	8.7	53.2	135.7	19.4	56.9	85.2
2450034	578185.384413781	7321200.51345323	578.185384413781	7321.20051345323	0	0	38.7	111.3	14.6	19.4	0	33.7	0	119.1	151.7	8.5	0	7.7	14.2	113.1	24.7	56.8	70
2450036	593387.906009962	7316679.27394521	593.387906009962	7316.67927394521	0	0	33	42	66.5	16.5	0	21.5	13.5	104	127.3	14	0	6	26	117	46	99	72
2450040	518238.025553332	7291510.02520003	518.238025553332	7291.51002520003	5.2	0	98.4	115.1	0	72.2	0	56	0	181.4	204.5	44.6	0	7	40.7	101.6	8.8	76.9	120.5
2450048	593555.18910669	7342146.15696257	593.55518910669	7342.14615696257	0	0	28.7	68.2	55.4	27	0	19.6	14.6	168.7	41.9	0	0	11.4	53.7	134.1	9.7	56.1	131
2450049	511103.663518627	7239476.88585591	511.103663518627	7239.47688585591	4	0	116.3	83.3	0	89.5	0	78.7	12.5	137.7	214.3	44.4	0	12	46.1	90.1	0	69.8	51.8
2450054	535355.61272883	7249401.42619774	535.35561272883	7249.40142619774	0	5.2	102	108.2	16.3	20.6	0	118.7	9.5	99	80.8	84.9	0	0	23.7	93.3	7.4	35.1	31.9
2450062	530508.698595244	7343526.6679855	530.508698595244	7343.5266679855	5.4	4.4	29.2	105.2	0	44	0	23.7	4.5	147.9	178.1	14.3	0	5.4	45	134.1	18.9	72.4	92
2451002	436962.69492269	7340098.74871331	436.96269492269	7340.09874871331	0	0	98.9	28.6	68.6	25.8	9.6	36.2	0	202	212.6	2.6	0	6.2	49.5	47.6	54.1	137.9	67.4
2451003	484842.771759585	7253867.56420217	484.842771759585	7253.86756420217	0.9	3.3	138.8	97.3	0	46.9	0	79.6	0	137.2	176.4	30.4	0.7	8.3	44.2	82.8	10	88.1	65.2
2451006	451216.100945447	7334618.55590728	451.216100945447	7334.61855590728	0	8.4	73.3	98	0	49	0	60.4	11.5	197.9	184.7	15.7	0	3	30.7	92.1	23.1	81.7	133.8
