stations	x	y	yield	01_04_2015	02_04_2015	03_04_2015	01_05_2015	02_05_2015	03_05_2015	01_06_2015	02_06_2015	03_06_2015	01_07_2015	02_07_2015	03_07_2015	01_08_2015	02_08_2015	03_08_2015	01_09_2015	02_09_2015	03_09_2015	01_10_2015
2449008	674.8445977	7253.874889	0	0	0	55.8	62.9	0.9	28.5	0	29.6	8	27.9	119.3	52.2	0	0	21.6	109.5	10	46.1	43.4
2449011	608.384657	7286.672845	6.5	26.6	0	57.9	87.9	0	65.7	0	15.8	0	43.9	160	26	0	5.5	43.5	140.2	23.3	59.1	46.3
2449019	660.5428032	7329.367934	5	9	6	33.5	101.5	17.6	40	0	22.8	10	120.8	39	11.6	0	4.2	26.5	115.8	33.9	38.1	107.5
2449020	671.6322001	7239.514389	0	6	14.5	50.8	145.1	0	37.8	0	47.3	15	30.6	103.5	48.3	0	15.5	23.5	104.7	41.4	66.7	62.6
2449021	660.0011106	7281.746703	0	11.8	8.1	20.8	61.8	25.7	15.7	0	33.4	0	119	115.5	28	0	0	44.8	51.4	22.1	59.7	75.2
2449023	654.5907376	7250.793825	0	0	0	65.3	62.2	0	33.1	0	31.4	0	39.4	137.5	32.5	0	0	26.2	123.4	10.5	39	46.3
2449024	693.8171711	7237.002874	0	0	4.2	66.3	63.9	1.4	26.8	0	45.4	0.2	52.6	114.4	48.3	0	2.4	29.9	83.2	17.1	54.7	94.7
2449026	619.1366836	7241.178587	6	0	0	71.2	79.5	0	51.7	0	45.6	0	75.1	180.1	22.8	0	0	46.8	88.3	5.3	60.5	39.1
2449028	631.4331433	7259.89464	6	0	0	90.6	50.1	43.1	6.9	0	45.6	0	88	155.3	35.3	0	2.3	31.6	103.5	0	32	57.9
2449030	633.6047076	7275.379339	6	0	0	58.3	83.3	0	35.7	0	33.4	0	59.3	142.4	32.5	0	3	35	102.8	20.1	40.7	58.5
2449032	628.6760484	7289.823232	6.5	6.1	1.8	54.1	72.2	13.8	30.9	0.4	31.6	0	65.7	167.2	15.5	0	5.7	42	115.7	48.5	52.1	50.2
2449036	644.0122493	7302.964377	5	0	16.6	40.2	106.2	0	21.7	0	41.1	0	64.9	143.6	15.9	0	3.5	37.2	71.4	45.9	21.4	91.8
2449040	629.9446489	7317.498307	5	0	3.8	40.4	114.4	34.6	39.9	0	22.1	0	99.5	89.3	14	0	7.2	24.5	114.6	28.8	46.2	126.6
2449044	655.5098622	7333.854032	5	0	5	36	100.2	0.5	28.8	0	25.8	0	111	86.9	9.9	0	4	45.2	123	30.4	72.6	104.5
2449045	637.2441095	7337.363926	6.69	1.6	13.3	44.1	99.9	0	14.5	0	4.8	0	118.2	51.5	7.6	0	0	23	106.4	42.1	48.1	106.7
2449063	654.4412201	7237.503478	0	0	29	48.9	76.2	10.1	34.3	0	33.1	0	72.4	90.1	42.1	0	1.5	33.3	118.3	1.5	62.1	51.8
2450008	508.1236293	7322.520895	5	9.4	1.1	86.2	110.6	0	30.9	6.7	47.3	14.4	146	136.2	18.5	0	13.3	31.7	126.5	19.5	69.1	174.6
2450011	538.5511994	7309.184411	0	3.9	1.4	46.3	68.7	36.1	73.6	1.1	55.5	1	142.7	196	22.3	0	9.3	31.5	105.1	34.2	73.9	72.7
2450021	573.6772999	7237.068603	6	0	5.3	74.3	71.1	0	143.2	0	75	7.8	80.3	212.8	57.1	0	8.7	38.9	106.9	0	58.7	43.7
2450024	600.9538337	7240.217013	6	0	0	74.6	68.4	0	50.3	0	57.4	2.4	58.5	163.3	55.6	0	3.7	29.5	83.6	3	43.2	34.7
2450025	570.8198027	7270.303994	6.5	0	3	82.9	90.2	0	61	0	83.3	0	140.8	173.4	52.8	0	9.5	9.4	118.2	7.8	45	52.2
2450026	588.0547526	7275.742183	6	0	0	61.4	107.2	0	43.4	0	55.1	15.3	61.1	193.2	45.1	0	0	38.2	129.7	10.9	54	68.3
2450031	591.2788369	7304.512491	6.5	0	0	51.3	88.1	9.8	50.7	0	49.8	0	102.8	148.9	8.7	0	8.7	53.2	135.7	19.4	56.9	85.2
2450034	578.1853844	7321.200513	6.5	0	0	38.7	111.3	14.6	19.4	0	33.7	0	119.1	151.7	8.5	0	7.7	14.2	113.1	24.7	56.8	70
2450036	593.387906	7316.679274	6	0	0	33	42	66.5	16.5	0	21.5	13.5	104	127.3	14	0	6	26	117	46	99	72
2450040	518.2380256	7291.510025	4.5	5.2	0	98.4	115.1	0	72.2	0	56	0	181.4	204.5	44.6	0	7	40.7	101.6	8.8	76.9	120.5
2450048	593.5551891	7342.146157	6	0	0	28.7	68.2	55.4	27	0	19.6	14.6	168.7	41.9	0	0	11.4	53.7	134.1	9.7	56.1	131
2450049	511.1036635	7239.476886	5	4	0	116.3	83.3	0	89.5	0	78.7	12.5	137.7	214.3	44.4	0	12	46.1	90.1	0	69.8	51.8
2450054	535.3556127	7249.401426	5	0	5.2	102	108.2	16.3	20.6	0	118.7	9.5	99	80.8	84.9	0	0	23.7	93.3	7.4	35.1	31.9
2450062	530.5086986	7343.526668	5.45	5.4	4.4	29.2	105.2	0	44	0	23.7	4.5	147.9	178.1	14.3	0	5.4	45	134.1	18.9	72.4	92
